Name,No of Ratings,Price,Rating out of 5
"Bosch TrueMixx Black 500 Watt Joy Mixer Grinder, 3 Jars - MGM2133BIN",71,3200,4.1
"Bajaj Ivora 800W Mixer Grinder with Anti-Bacterial Coating and Nutri-Pro Feature, 3 Jars, Crimson Red",365,3999,4.1
"Havells Hydro 750 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 5 year motor warranty (black)",69,3720,4.2
"Prestige Delight Plus Mixer Grinder, 750 Watt, 4 Jars, Yellow",2372,4699,4.2
"Orient Electric Kitchen Kraft MGKK50B3 Mixer Grinder, 500W, 3 Jars (White)",8928,2007,4.1
"Preethi Zion MG-227 mixer grinder 750 watt Black, 4 jars - master chef food processor jar and flexi lid, Vega W5 motor with 2yr Guarantee & Lifelong Free Service, Standard",3121,6900,4.1
CLUBX 200 Watts Mini Electric Multifunction Food Meat Grinder Vegetable Fruit Mixer Blender Chopper Juicer (Multicolour),120,880,3.9
"Padmashree ® 750 Watt SUMO Mixer Grinder, 3 Stainless Steel Jar | ABS Body, Stainless Steel Blades, 3 Speed Options(1 Year Warranty) (White)",41,1499,3.4
"Bostton Mixer Grinder Queen Super Pro, 750 Watt, Copper Winded Motor, 3 Jar with 2 Year Warranty",1,1599,5
"Maharaja Whiteline MG Livo Mixer Grinder, 500W, 3 Jars (Red)",4356,2279,4
"GIXOO H.A Black hero 2 jar Mixer Grinder 500 W-(Orange,Black) 500w",37,1100,3.6
Philips Simple Silent Vertical HL1643 600-Watt Mixer Grinder with 5 Jars (Blue),555,4239,3.9
"Usha Trienergy Plus 800 Watt Mixer Grinder with Copper Motor, Square Shaped Quadri Flow Blender Jar and, 6 Fin Whirlwind Food Grade Blade, 4 Jars (Red)",563,4240,4
Prestige Delight Mixer Grinder 750 W (with 3 Stainless Steel Jars),670,3898,4.1
Inalsa Mixer Grinder Jazz Pro -550W with 3 Stainless Steel Jars ( White/Green ),1024,1699,3.9
"Wonderchef Nutri Blend Complete Kitchen Machine, 22000 RPM Mixer Grinder, Blender, Chopper, Juicer, Stainless Steel Blades, 4 Unbreakable Jars, 2 Years Warranty, 400 W-White, Online Recipe Book By Chef Sanjeev Kapoor",8594,3919,3.8
Vidiem MG 612 A Evo ADC 750 Watts Mixer Grinder with 5 Jars Kitchen Appliances (Black & Orange),66,8390,4.1
Home Plus Z1 500W Mixer Grinder With 3 Jars | Stainless Steel Blades | White,14,1699,4.1
Philips HL 7720 750-Watt Mixer Grinder with 3 Jars (Multicolour),4427,3999,4.1
"Boss All Time Plus Mixer Grinder, 550W, 3 Jars (Red)",3,2180,4.6
"Home Plus Nutri Blend, 20000 RPM Mixer Grinder, 2 Unbreakable Jars, 500W (Black and Red)",91,1699,3.8
Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish),971,4620,3.9
Prestige Endura 1000W Mixer Grinder 6 Jars,4,7700,3.6
"MAYUMI® GLS EXPERTS | 550W Mixer Grinder | EMERALD ECO | with 2 Leak-proof SS Jars, 1 Yr Warranty (Green - Grey)",61,1195,3.1
"Hamilton Beach Professional Juicer Mixer Grinder 58770-IN, 1400 Watt Rated Motor, Triple Overload Protection, 3 Stainless Steel Leakproof Jars, Triple Safety Protection, Intelligent Controls, Black",948,23997,4.4
Baltra Promo (550 Watt) Mixer Grinder with 2 Stainless Steel Jars - Turquoise Green & White,1619,1399,3.7
Pigeon Classic Lite Mixer Grinder with 550W Motor and 2 Stainless Steel Jars (Ivory),282,1777,3.8
Bosch Pro 750W Mixer Grinder with 3 Jars (Black),592,5549,4.2
"Maharaja Whiteline Ultramax Elite Mixer Grinder with 4 Jars, 800 W - MX-222 (Red)",1368,3989,4.1
"Nabaat Mixer Grinders Waterproof Dust Cover for Kitchen Table Top Standard Size, Black (8”X 8”X 12.5”)",159,348,4.5
"MK Star Butterfly Desire Mixer Grinder Jar (D-RED, MGA-CJ, 1000 ml)",19,985,4.5
"Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)",5171,5525,4.6
Cello Grind N Mix Ertiga 500-Watt Juicer Mixer Grinder with 3 Jars (Blue),1348,2239,3.9
"Solidaire SLD-550-WB 550W Mixer Grinder with 3 Jars, White and Blue",1941,1809,3.9
"MAYUMI® 3 Pc Mixer Jar Set | Heavy Gauge - Liquid Jar(1.5L), Dry Jar(1L), Chutney Jar(0.4L) (Clear)",25,525,3.4
Havells Hexo 1000 watts with 3 Jar Mixer Grinder (White & Purple) (GHFMGDIV100),24,5710,4.1
Philips Viva HL7715 700-Watt Juicer Mixer Grinder with 3 Jars (Pistil Red/White),1718,4936,4.2
Panasonic MX-AV-425CB 600w Juicer Mixer Grinder (Charcoal Black),176,6350,4.4
Jones Thunder Pro 3 Jar 700 Watt Mixer Grinder - (White & Blue),4,1649,5
"Cello Mixer Grinder - Ertiga, 750 W, Blue",115,2805,3.9
"Borosil Fortuner Mixer Grinder Blender Juicer, Copper Motor, For Wet/Dry Mixing & Grinding, Blending Smoothies & Juicing Fruits 1000 Watts, 4 Jars (0.4L+1L+1.2L) (1.5L+1.5L+1.2L+0.4L)",4,5997,4.4
"Sujata Supermix, Mixer Grinder, 900 Watts, 3 Jars (White)",755,4925,4.5
Butterfly Grand XL 500-Watt Mixer Grinder with 3 Jars (Cherry Red),203,2199,3.7
"Maharaja Whiteline Neo Mixer Grinder, 500W - MX-199 (White)",47,2219,3.7
"Bostton Sweety Pro, 550 Watt Mixer Grinder, 22000 RPM Turbo Motor, 2 Jar, 2 Year Warranty",5,1599,4.5
"The Quasar Store Mixer Chutney Jar (180 ml,500 ml) HEAVY QUALITY Mixer Jar (1 Mini Unique Jar 1 Medium Jar)",149,499,3.8
"Bajaj GX-8 750W Mixer Grinder with Nutri Pro Feature, 3 Jars, White",3746,3380,4.2
"DARAZ Mixer Chutney Jar, Steel Jar for regular Mixer Grinders 400ml Jar (Black) Steel Mixer Chutney Jar with Aluminum Bees.Home Use Only (pack of 1)",5,249,4.2
"INALSA Mixer Grinder 550Watt- NutriMaxx with 3 Stainless Steel Jars (For Dry Grinding, Wet Grinding, Chutneys, (Grey/Black)",2,2045,3
Panasonic MX-AC220-H 550-Watt 2-Jar Super Mixer Grinder (Grey),289,3855,4.4
"AmazonBasics Premium 750-Watt Mixer Grinder with 3 Jars,White and Blue",1873,2599,3.9
"DEZEEN Stainless Steel Mixer Grinder Jar - 1000g, 1 Chutney Jar, 1 Medium Jar, 1 Large Jar, Black (ALL INDIAN MIXER)",19,699,3.5
