,Name,No of reviews,Price,Rating out of 5
50,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
51,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
52,"Sujata Dynamix Mixer Grinder ( 900 Watt , White)",1919,5538.0,4.6
53,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
54,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
55,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
56,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
57,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
58,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
59,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
60,"Bosch TrueMixx Bold Mixer Grinder (Black) - 600 Watts, 3 Jars - MGM4334BIN",189,4090.0,4.3
61,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
62,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
63,Croma 750 Watt 3 Jars Mixer Grinder with Copper Motor CRAK4183 (Green),28,1990.0,3.3
64,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
65,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
66,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
68,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
69,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3025,3497.0,4
70,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
71,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,9017,6750.0,4.4
72,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
73,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
74,"Sujata Dynamix Mixer Grinder ( 900 Watt , White)",1919,5538.0,4.6
75,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
76,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
77,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
78,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
79,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
80,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
81,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
82,"Bosch TrueMixx Bold Mixer Grinder (Black) - 600 Watts, 3 Jars - MGM4334BIN",189,4090.0,4.3
83,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
84,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
85,Croma 750 Watt 3 Jars Mixer Grinder with Copper Motor CRAK4183 (Green),28,1990.0,3.3
86,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
87,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
88,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
90,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
91,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3025,3497.0,4
92,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
93,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,9017,6750.0,4.4
94,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
95,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
96,"Sujata Dynamix Mixer Grinder ( 900 Watt , White)",1919,5538.0,4.6
97,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
98,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
99,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
100,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
101,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
102,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
103,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
104,"Bosch TrueMixx Bold Mixer Grinder (Black) - 600 Watts, 3 Jars - MGM4334BIN",189,4090.0,4.3
105,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
106,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
107,Croma 750 Watt 3 Jars Mixer Grinder with Copper Motor CRAK4183 (Green),28,1990.0,3.3
108,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
